name,value,namespace,intro_version,status,capability_gate,format,compat,file,line
ESE_CAP_M1_SUBSCRIBER_PIN,0x00000001,CAP-ESE,v8.1,experimental,none,"bit 0 -- files pinned by my subscribers",additive,srchybrid/Opcodes.h,528
ESE_CAP_M2_COMPOSITE_KEYS,0x00000002,CAP-ESE,v8.1,experimental,none,"bit 1 -- composite (kw,ft,size) keys",additive,srchybrid/Opcodes.h,529
ESE_CAP_M3_SHARDING,0x00000004,CAP-ESE,v8.1,experimental,none,"bit 2 -- hot keyword sharding",additive,srchybrid/Opcodes.h,530
ESE_CAP_M4_TRIGRAMS,0x00000008,CAP-ESE,v8.1,experimental,none,"bit 3 -- trigram index",additive,srchybrid/Opcodes.h,531
ESE_CAP_M5_BLOOM_GOSSIP,0x00000010,CAP-ESE,v8.1,experimental,none,"bit 4 -- bloom digest gossip",additive,srchybrid/Opcodes.h,532
ESE_CAP_M6_K_EFFECTIVE,0x00000020,CAP-ESE,v8.1,experimental,none,"bit 5 -- adaptive k per keyword",additive,srchybrid/Opcodes.h,533
ESE_CAP_PRIVACY_TUNNELING,0x00000100,CAP-ESE,v8.1,stable,none,"bit 8 -- onion tunnels active",additive,srchybrid/Opcodes.h,534
ESE_CAP_SEALED_RECORDS,0x00000200,CAP-ESE,v8.1,experimental,none,"bit 9 -- sealed channels (Ed25519+HKDF)",additive,srchybrid/Opcodes.h,535
ESE_CAP_GOSSIP_PROTOCOL,0x00000400,CAP-ESE,v8.1,experimental,none,"bit 10 -- channel gossip",additive,srchybrid/Opcodes.h,536
ESE_CAP_COVER_TRAFFIC,0x00000800,CAP-ESE,v8.1,experimental,none,"bit 11 -- Poisson cover cells",additive,srchybrid/Opcodes.h,537
ESE_CAP_TUNNEL_DATAPLANE,0x00001000,CAP-ESE,v8.1,stable,none,"bit 12 -- multi-cell tunnel data plane",additive,srchybrid/Opcodes.h,538
ESE_CAP_LIVE_CHUNK_FRAG,0x00002000,CAP-ESE,v8.1.x,stable,none,"bit 13 -- Live segment fragmentation (SHIPPED+validated)",additive,srchybrid/Opcodes.h,539
ESE_CAP_TUNNEL_BULK,0x00004000,CAP-ESE,v8.1.1,stable,none,"bit 14 -- high-throughput tunnel bulk data plane",additive,srchybrid/Opcodes.h,540
ESE_CAP_HOLEPUNCH_RDV,0x00008000,CAP-ESE,v9,experimental,none,"bit 15 -- opt-in 3-way rendezvous; runtime advertisement requires both hole-punch and EseKad3Rendezvous kill switches",additive,srchybrid/Opcodes.h,556
ESE_CAP_KAD_KEEPALIVE,0x00010000,CAP-ESE,v9,experimental,ESE_NETLAB_V1+EseAutoKeepalive,"bit 16 -- nonce-correlated Kad keepalive; advertised only while explicit NetLab participation and the local R.2 service are enabled, and used only with connected peers that also advertise active NetLab participation",additive,srchybrid/Opcodes.h,560
ESE_CAP_REACH_V2,0x00020000,CAP-ESE,v9,experimental,none,"bit 17 -- strict TAG_ESE_REACH v2 codec and route projection; advertised after host integration",additive,srchybrid/Opcodes.h,558
ESE_CAP_TUNNEL_AUTH,0x00040000,CAP-ESE,v8.x,experimental,none,"bit 18 -- authenticated tunnel handshake (CREATE/CREATED v2, Ed25519 signed). Advertised only while the persistent node identity is available; authenticates the exit capability snapshot used by Kad6.",additive,srchybrid/Opcodes.h,560
ESE_CAP_HOLEPUNCH_COOKIE,0x00080000,CAP-ESE,v8.x,experimental,none,"bit 19 -- return-routability cookie for eSE hole-punch (anti-reflection). Cookie flow wired (Process_ESE_HOLEPUNCH_REQ/CHALLENGE + EseHolePunchCookie). LOAD-BEARING: gates stateless challenge for unverified entries; informational otherwise. Two-tier gate in Process_ESE_HOLEPUNCH_REQ: TIER1 verified-known contact (IsIpVerified) -> legacy ACK+seed; TIER2 gray zone (unknown OR known-but-unverified) -> challenge IFF sender advertises this bit, else floored ACK+seed (back-compat for legacy peers). Slot below 15/16/17/18 = RDV/KEEPALIVE/REACH_V2/AUTH.",additive,srchybrid/Opcodes.h,557
ESE_CAP_LIVE_RELAY,0x00200000,CAP-ESE,v9,experimental,none,"bit 21 -- R.3 buddy relay egress (broadcaster connect-out + 0xCF SETUP/CHUNK + 0xCE downstream re-emit). Advertised iff GetEseRelayAccept() (default OFF); a node that does not accept relay duty keeps its caps byte-identical. Egress bandwidth bounded by pref EseRelayMaxKBps. bit 20 deliberately skipped (LIVE_BLAKE3).",additive,srchybrid/Opcodes.h,558
ESE_CAP_KAD6,0x01000000,CAP-ESE,v0.71,experimental,none,"bit 24 -- canonical Kad6 discovery gateway. Advertised only with a persistent node identity and non-Direct privacy mode; originators require the authenticated exit snapshot before sending K6Frame. Fine-grained K6_CAP_* remain in the signed u64.",additive,srchybrid/Opcodes.h,563
ESE_CAP_TUNNEL_STRICT3,0x02000000,CAP-ESE,v0.71,experimental,ESE_CAP_TUNNEL_AUTH,"bit 25 -- authenticated CREATE/EXTEND v3 and iterative three-hop forwarding for Kad6 STRICT. Every selected hop must advertise it; absence fails the STRICT request closed. Direct, one-hop quota-issuer and two-hop Private profiles remain separate protocols and are never a STRICT downgrade.",additive,srchybrid/Opcodes.h,564
ESE_CAP_TUNNEL_SHAPED,0x04000000,CAP-ESE,v0.71,experimental,ESE_CAP_TUNNEL_STRICT3,"bit 26 -- Kad6 class-5 fixed 17000-byte bulk carrier, independent per-link scheduler, bounded 2-5 second reservoir and regenerated padding. STRICT requires it on all three signed hops; no silent unshaped downgrade.",additive,srchybrid/Opcodes.h,566
ESE_CAP_KAD6_ECONOMY,0x08000000,CAP-ESE,v0.71,experimental,ESE_CAP_KAD6,"bit 27 -- K6-8 RFC 9474 RSABSSA anonymous quota wire plus measured rho admission. Advertises protocol support only; runtime deployment policy remains separate.",additive,srchybrid/Opcodes.h,567
ESE_CAP_NETLAB_V1,0x10000000,CAP-ESE,v9.0.0-beta.1,experimental,EseNetLabConsent=accepted+EseNetLabEnabled,"bit 28 -- explicit participation in the bounded public beta network-lab cohort. Presence means consent is active now; build support or beta installation alone never sets it. Peers without the bit, including v8.1 and vanilla, are excluded from automatic cohort attempts.",additive,srchybrid/Opcodes.h,569
CAP_FORK_IPV6_WIRE,0x00000001,CAP-FORK,v0.71,reserved,none,"bit 0 -- peer speaks _V6 opcodes",additive,srchybrid/Opcodes.h,656
CAP_FORK_IPV6_KAD,0x00000002,CAP-FORK,v0.71,experimental,none,"bit 1 -- historically named native Kad6 capability; runtime advertisement requires a persistent identity and at least one signed public IPv4 or IPv6 UDP endpoint under the family-neutral OP_KAD6HEADER plane",additive,srchybrid/Opcodes.h,680
CAP_FORK_IPV6_DUALSTACK,0x00000004,CAP-FORK,v0.71,experimental,none,"bit 2 -- peer has both v4 + v6 reachable",additive,srchybrid/Opcodes.h,658
CAP_FORK_ED25519,0x00000008,CAP-FORK,v7.6,stable,none,"bit 3 -- peer speaks signed live chunks",additive,srchybrid/Opcodes.h,659
